flaw_id,risk_factor,score,exploit_ease,exploit_available,patch_available,prevalence,no_of_cve,cve_score,Prevalence_Score,patch_age_score,Flaw_Score,ease_of_remediation,total_score,cve_list,adjusted_cve_score
132101,High,8.4,TRUE,TRUE,,1063,11,2,4,0,3.4,2,6.74,"['CVE-2017-5715', 'CVE-2017-5753', 'CVE-2017-5754', 'CVE-2018-12126', 'CVE-2018-12127', 'CVE-2018-12130', 'CVE-2018-3615', 'CVE-2018-3620', 'CVE-2018-3639', 'CVE-2018-3646', 'CVE-2019-11135']",0
101366,Medium,6.7,TRUE,TRUE,11-07-2017 00:00,56,42,3,1,3,2.7,2,6.47,"['CVE-2017-0170', 'CVE-2017-8463', 'CVE-2017-8467', 'CVE-2017-8486', 'CVE-2017-8495', 'CVE-2017-8556', 'CVE-2017-8557', 'CVE-2017-8561', 'CVE-2017-8562', 'CVE-2017-8563', 'CVE-2017-8564', 'CVE-2017-8565', 'CVE-2017-8566', 'CVE-2017-8573', 'CVE-2017-8574', 'CVE-2017-8577', 'CVE-2017-8578', 'CVE-2017-8580', 'CVE-2017-8581', 'CVE-2017-8582', 'CVE-2017-8584', 'CVE-2017-8585', 'CVE-2017-8588', 'CVE-2017-8589', 'CVE-2017-8590', 'CVE-2017-8592', 'CVE-2017-8595', 'CVE-2017-8596', 'CVE-2017-8598', 'CVE-2017-8599', 'CVE-2017-8601', 'CVE-2017-8602', 'CVE-2017-8603', 'CVE-2017-8604', 'CVE-2017-8605', 'CVE-2017-8606', 'CVE-2017-8607', 'CVE-2017-8608', 'CVE-2017-8609', 'CVE-2017-8611', 'CVE-2017-8618', 'CVE-2017-8619']",0
41028,Medium,5.2,FALSE,FALSE,,2594,44,3,4,0,1,3,6.45,['CVE-1999-0517'],0
177249,Medium,6.7,TRUE,TRUE,13-06-2023,131,20,2,2,3,2.7,2,6.32,"['CVE-2023-21808', 'CVE-2023-21815', 'CVE-2023-23381', 'CVE-2023-24895', 'CVE-2023-24897', 'CVE-2023-24936', 'CVE-2023-25652', 'CVE-2023-25815', 'CVE-2023-27909', 'CVE-2023-27910', 'CVE-2023-27911', 'CVE-2023-29007', 'CVE-2023-29011', 'CVE-2023-29012', 'CVE-2023-29331', 'CVE-2023-33032', 'CVE-2023-33126', 'CVE-2023-33128', 'CVE-2023-33135', 'CVE-2023-33139']",0
166555,High,8.9,TRUE,TRUE,,1065,1,1,4,0,3.9,2,6.29,['CVE-2013-3900'],0
162428,Medium,5.1,TRUE,TRUE,21-06-2022,978,1,1,3,3,2.1,3,6.21,['CVE-2022-0778'],0
167509,Low,3.6,FALSE,FALSE,14-11-2022,1040,1,1,4,3,1,3,6.15,['CVE-2022-34435'],0
187201,Medium,6.1,TRUE,TRUE,18-12-2024,5450,3,1,4,1,2.1,3,6.01,"['CVE-2023-48795', 'CVE-2023-51384', 'CVE-2023-51385']",0
168362,Low,3.6,FALSE,FALSE,29-11-2022,1344,1,1,4,3,1,2,5.75,['CVE-2022-31693'],0
177328,Medium,4.6,TRUE,TRUE,13-06-2023,691,1,1,3,3,2.6,1,5.71,['CVE-2023-20867'],0
35291,Medium,4.2,TRUE,TRUE,,2280,2,1,4,0,2.2,3,5.67,"['CVE-2004-2761', 'CVE-2005-4900']",0
182875,High,7.4,TRUE,TRUE,11-10-2023 00:00,130,1,1,2,3,3.4,1,5.59,['CVE-2023-38545'],0
169783,Medium,6,TRUE,TRUE,10-01-2023 00:00,916,1,1,3,3,2,1,5.35,['CVE-2023-21725'],0
140132,Medium,6.7,TRUE,TRUE,09-06-2020 00:00,107,2,1,2,3,2.7,1,5.17,"['CVE-2020-1163', 'CVE-2020-1170']",0
161605,Medium,5.2,FALSE,FALSE,24-05-2022,867,1,1,3,3,1,2,5.15,['CVE-2022-22977'],0
125884,Medium,5.2,FALSE,FALSE,06-06-2019 00:00,669,1,1,3,3,1,2,5.15,['CVE-2019-5522'],0
19948,Medium,5.9,TRUE,TRUE,01-01-1990 00:00,82,1,1,1,3,2.9,2,5.09,['CVE-1999-0526'],0
66349,Medium,5.9,TRUE,TRUE,01-01-1990 00:00,81,1,1,1,3,2.9,2,5.09,['CVE-1999-0526'],0
80101,Medium,4.4,TRUE,TRUE,,2506,1,1,4,0,2.4,1,4.99,['CVE-2013-4786'],0
181409,Medium,4.4,TRUE,TRUE,13-09-2023,130,1,1,2,3,2.4,1,4.99,['CVE-2023-38039'],0
148955,Low,3,FALSE,FALSE,14-04-2020,293,1,1,2,3,1,3,4.95,['CVE-2021-21542'],0
70658,Low,3.6,FALSE,FALSE,,9950,1,1,4,0,1,3,4.95,['CVE-2008-5161'],0
10114,Medium,4.2,FALSE,FALSE,,17984,1,1,4,0,1,3,4.95,['CVE-1999-0524'],0
42873,Medium,5.1,FALSE,FALSE,,2932,1,1,4,0,1,3,4.95,['CVE-2016-2183'],0
183391,Medium,4.4,FALSE,FALSE,19-10-2023,245,3,1,2,3,1,3,4.95,"['CVE-2023-31122', 'CVE-2023-43622', 'CVE-2023-45802']",0
193419,Medium,4.4,FALSE,FALSE,19-10-2023,207,1,1,2,3,1,3,4.95,['CVE-2023-31122'],0
91572,Medium,4.4,TRUE,TRUE,03-05-2016 00:00,67,1,1,1,3,2.4,2,4.79,['CVE-2016-2107'],0
180506,Medium,6.7,FALSE,FALSE,31-08-2023,693,1,1,3,3,1,1,4.75,['CVE-2023-20900'],0
184130,Medium,6.7,FALSE,FALSE,26-10-2023,598,1,1,3,3,1,1,4.75,['CVE-2023-34058'],0
147208,Medium,6.7,TRUE,TRUE,09-03-2021 00:00,7,3,1,1,3,2.7,1,4.57,"['CVE-2019-11756', 'CVE-2019-17006', 'CVE-2020-12403']",0
140465,Medium,5.9,FALSE,FALSE,08-09-2020 00:00,111,4,1,2,3,1,2,4.55,"['CVE-2020-1130', 'CVE-2020-1133', 'CVE-2020-16856', 'CVE-2020-16874']",0
179644,Medium,4.4,FALSE,FALSE,08-08-2023 00:00,101,1,1,2,3,1,2,4.55,['CVE-2023-36897'],0
76474,Low,3.6,FALSE,FALSE,,810,1,1,3,0,1,3,4.35,['CVE-2008-4309'],0
150432,Medium,5.2,TRUE,TRUE,09-06-2021 00:00,14,1,1,1,3,2.2,1,4.27,['CVE-2021-25217'],0
191711,Critical,9.2,FALSE,FALSE,05-03-2024 00:00,181,4,1,2,3,1,1,4.15,"['CVE-2024-22252', 'CVE-2024-22253', 'CVE-2024-22254', 'CVE-2024-22255']",0
135719,Medium,5.9,FALSE,FALSE,14-04-2020,107,1,1,2,3,1,1,4.15,['CVE-2020-0835'],0
152423,Low,3.6,FALSE,FALSE,10-08-2021 00:00,32,3,1,1,3,1,2,3.95,"['CVE-2021-26423', 'CVE-2021-34485', 'CVE-2021-34532']",0
159464,Low,1.4,FALSE,FALSE,01-04-2022 00:00,10,1,1,1,3,1,2,3.95,['CVE-2021-43980'],0
159464,Low,1.4,FALSE,FALSE,01-04-2022 00:00,14,1,1,1,3,1,2,3.95,['CVE-2021-43980'],0
135481,Low,3.6,FALSE,FALSE,14-04-2020,80,2,1,1,3,1,2,3.95,"['CVE-2020-0899', 'CVE-2020-0900']",0
65821,Medium,4.4,FALSE,FALSE,,975,2,1,3,0,1,2,3.95,"['CVE-2013-2566', 'CVE-2015-2808']",0
187806,High,7.1,FALSE,FALSE,09-01-2024 00:00,33,10,2,1,1,1,2,3.9,"['CVE-2023-29349', 'CVE-2023-29356', 'CVE-2023-32025', 'CVE-2023-32026', 'CVE-2023-32027', 'CVE-2023-32028', 'CVE-2024-0056', 'CVE-2024-0057', 'CVE-2024-20656', 'CVE-2024-21319']",0
193088,High,7.4,FALSE,FALSE,09-04-2024 00:00,33,11,2,1,1,1,2,3.9,"['CVE-2024-21409', 'CVE-2024-28929', 'CVE-2024-28930', 'CVE-2024-28931', 'CVE-2024-28932', 'CVE-2024-28933', 'CVE-2024-28934', 'CVE-2024-28935', 'CVE-2024-28936', 'CVE-2024-28937', 'CVE-2024-28938']",0
193160,High,7.4,FALSE,FALSE,09-04-2024 00:00,8,13,2,1,1,1,2,3.9,"['CVE-2024-28929', 'CVE-2024-28930', 'CVE-2024-28931', 'CVE-2024-28932', 'CVE-2024-28933', 'CVE-2024-28934', 'CVE-2024-28935', 'CVE-2024-28936', 'CVE-2024-28937', 'CVE-2024-28938', 'CVE-2024-28941', 'CVE-2024-28943', 'CVE-2024-29043']",0
166287,Low,2.2,TRUE,TRUE,19-10-2022,8,4,1,1,3,1.2,1,3.67,"['CVE-2022-21619', 'CVE-2022-21624', 'CVE-2022-21626', 'CVE-2022-21628']",0
170531,Medium,5.9,FALSE,FALSE,24-01-2023,14,2,1,1,3,1,1,3.55,"['CVE-2021-26401', 'CVE-2022-2964']",0
192568,Low,3.6,FALSE,FALSE,14-06-2022,9,3,1,1,3,1,1,3.55,"['CVE-2022-21123', 'CVE-2022-21125', 'CVE-2022-21166']",0
163963,Medium,4.4,FALSE,FALSE,09-08-2022 00:00,14,3,1,1,3,1,1,3.55,"['CVE-2022-21123', 'CVE-2022-21125', 'CVE-2022-21166']",0
139584,Medium,4.2,FALSE,FALSE,11-08-2020 00:00,49,1,1,1,3,1,1,3.55,['CVE-2020-1455'],0
132937,Medium,4.4,FALSE,FALSE,14-01-2020,80,1,1,1,3,1,1,3.55,['CVE-2019-1547'],0
180007,Medium,6.7,FALSE,FALSE,08-08-2023 00:00,16,1,1,1,3,1,1,3.55,['CVE-2023-38169'],0
11197,Medium,4.2,TRUE,TRUE,,76,1,1,1,0,2.2,2,3.47,['CVE-2003-0001'],0
42411,Medium,6.6,FALSE,FALSE,,102,2,1,2,0,1,2,3.35,"['CVE-1999-0519', 'CVE-1999-0520']",0
83875,Low,2.9,FALSE,FALSE,,410,1,1,2,0,1,2,3.35,['CVE-2015-4000'],0
42411,Medium,6.6,FALSE,FALSE,,36,2,1,1,0,1,2,2.75,"['CVE-1999-0519', 'CVE-1999-0520']",0
31705,Medium,4.4,FALSE,FALSE,,97,1,1,1,0,1,1,2.35,['CVE-2007-1858'],0
